,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Pull Timestamp
0,NTES201009C00081000,2020-10-05 12:07AM EDT,81.0,8.7,8.20,9.9,0.0,-,-,1,57.42%,2020-10-05 09:51:27.477516
1,NTES201009C00082000,2020-10-05 12:07AM EDT,82.0,7.3,3.00,12.9,0.0,-,-,7,209.03%,2020-10-05 09:51:27.477516
2,NTES201009C00083000,2020-10-05 12:07AM EDT,83.0,6.5,6.10,8.8,0.0,-,-,5,67.19%,2020-10-05 09:51:27.477516
3,NTES201009C00084000,2020-10-05 9:33AM EDT,84.0,6.2,4.20,7.6,0.8,+14.81%,40,171,97.95%,2020-10-05 09:51:27.477516
4,NTES201009C00085000,2020-10-05 12:07AM EDT,85.0,7.64,1.00,10.8,0.0,-,-,20,68.41%,2020-10-05 09:51:27.477516
5,NTES201009C00087500,2020-10-05 12:07AM EDT,87.5,2.65,2.20,3.7,0.0,-,-,1,55.62%,2020-10-05 09:51:27.477516
6,NTES201009C00088000,2020-10-05 12:07AM EDT,88.0,10.85,2.30,3.3,0.0,-,-,90,53.52%,2020-10-05 09:51:27.477516
7,NTES201009C00088500,2020-10-05 12:07AM EDT,88.5,2.05,2.05,2.8,0.0,-,-,22,48.58%,2020-10-05 09:51:27.477516
8,NTES201009C00089000,2020-10-05 12:07AM EDT,89.0,1.95,1.75,2.55,0.0,-,-,13,49.56%,2020-10-05 09:51:27.477516
9,NTES201009C00089500,2020-10-05 12:07AM EDT,89.5,1.8,1.55,2.55,0.0,-,-,10,56.01%,2020-10-05 09:51:27.477516
10,NTES201009C00090000,2020-10-05 9:32AM EDT,90.0,1.5,1.45,2.25,0.0,-,7,45,54.76%,2020-10-05 09:51:27.477516
11,NTES201009C00090500,2020-10-05 12:07AM EDT,90.5,1.75,1.30,2.0,0.0,-,-,124,54.30%,2020-10-05 09:51:27.477516
12,NTES201009C00091000,2020-10-05 12:07AM EDT,91.0,1.2,1.10,1.75,0.0,-,-,320,53.47%,2020-10-05 09:51:27.477516
13,NTES201009C00091500,2020-10-05 12:07AM EDT,91.5,1.75,0.70,1.5,0.0,-,-,42,52.15%,2020-10-05 09:51:27.477516
14,NTES201009C00092000,2020-10-05 9:30AM EDT,92.0,1.75,0.75,1.15,0.95,+118.75%,-,204,47.80%,2020-10-05 09:51:27.477516
15,NTES201009C00092500,2020-10-05 12:07AM EDT,92.5,1.0,0.65,1.1,0.0,-,-,85,50.64%,2020-10-05 09:51:27.477516
16,NTES201009C00093000,2020-10-05 12:07AM EDT,93.0,0.7,0.05,2.25,0.0,-,-,145,55.91%,2020-10-05 09:51:27.477516
17,NTES201009C00093500,2020-10-05 12:07AM EDT,93.5,0.55,0.45,1.0,0.0,-,-,64,55.57%,2020-10-05 09:51:27.477516
18,NTES201009C00094000,2020-10-05 12:07AM EDT,94.0,0.38,0.05,1.0,0.0,-,5,397,59.18%,2020-10-05 09:51:27.477516
19,NTES201009C00094500,2020-10-05 12:07AM EDT,94.5,0.95,0.00,5.2,0.0,-,-,96,105.37%,2020-10-05 09:51:27.477516
20,NTES201009C00095000,2020-10-05 12:07AM EDT,95.0,0.23,0.05,0.6,0.0,-,-,395,53.47%,2020-10-05 09:51:27.477516
21,NTES201009C00095500,2020-10-05 12:07AM EDT,95.5,0.21,0.00,3.9,0.0,-,-,172,96.29%,2020-10-05 09:51:27.477516
22,NTES201009C00096000,2020-10-05 12:07AM EDT,96.0,0.18,0.05,0.6,0.0,-,-,500,59.47%,2020-10-05 09:51:27.477516
23,NTES201009C00096500,2020-10-05 12:07AM EDT,96.5,0.62,-,2.9,0.0,-,-,150,128.66%,2020-10-05 09:51:27.477516
24,NTES201009C00097000,2020-10-05 12:07AM EDT,97.0,0.62,-,2.5,0.0,-,-,155,121.92%,2020-10-05 09:51:27.477516
25,NTES201009C00097500,2020-10-05 12:07AM EDT,97.5,1.56,-,0.5,0.0,-,-,75,64.16%,2020-10-05 09:51:27.477516
26,NTES201009C00098000,2020-10-05 12:07AM EDT,98.0,0.2,-,7.1,0.0,-,-,115,244.09%,2020-10-05 09:51:27.477516
27,NTES201009C00098500,2020-10-05 12:07AM EDT,98.5,0.33,-,0.4,0.0,-,-,50,64.94%,2020-10-05 09:51:27.477516
28,NTES201009C00099000,2020-10-05 12:07AM EDT,99.0,0.34,-,7.1,0.0,-,-,15,251.86%,2020-10-05 09:51:27.477516
29,NTES201009C00099500,2020-10-05 12:07AM EDT,99.5,0.29,-,0.0,0.0,-,-,25,25.00%,2020-10-05 09:51:27.477516
30,NTES201009C00100000,2020-10-05 12:06AM EDT,100.0,0.1,-,0.1,0.0,-,-,225,52.73%,2020-10-05 09:51:27.477516
31,NTES201009C00100500,2020-10-05 12:06AM EDT,100.5,1.62,-,3.6,0.0,-,-,30,175.49%,2020-10-05 09:51:27.477516
32,NTES201009C00101000,2020-10-05 12:06AM EDT,101.0,0.1,-,0.95,0.0,-,-,60,100.49%,2020-10-05 09:51:27.477516
33,NTES201009C00101500,2020-10-05 12:06AM EDT,101.5,0.05,-,0.85,0.0,-,-,80,99.32%,2020-10-05 09:51:27.477516
