,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Pull Timestamp
0,NTES201009P00066000,2020-10-05 12:07AM EDT,66.0,0.05,-,0.1,0.0,-,-,10,301.56%,2020-10-09 13:06:00.452172
1,NTES201009P00068000,2020-10-05 12:07AM EDT,68.0,0.04,-,0.1,0.0,-,-,5,277.34%,2020-10-09 13:06:00.452172
2,NTES201009P00078000,2020-10-08 1:37PM EDT,78.0,0.02,-,0.1,0.0,-,3,5,160.16%,2020-10-09 13:06:00.452172
3,NTES201009P00080000,2020-10-06 1:06PM EDT,80.0,0.08,-,0.05,0.0,-,5,30,121.88%,2020-10-09 13:06:00.452172
4,NTES201009P00081000,2020-10-05 12:07AM EDT,81.0,0.21,0.00,0.1,0.0,-,-,5,111.72%,2020-10-09 13:06:00.452172
5,NTES201009P00082000,2020-10-07 1:18PM EDT,82.0,0.08,-,0.1,0.0,-,2,57,114.84%,2020-10-09 13:06:00.452172
6,NTES201009P00083000,2020-10-08 10:10AM EDT,83.0,0.03,-,2.2,0.0,-,35,136,285.06%,2020-10-09 13:06:00.452172
7,NTES201009P00084000,2020-10-09 11:08AM EDT,84.0,0.05,0.00,0.1,-0.15,-75.00%,10,155,80.47%,2020-10-09 13:06:00.452172
8,NTES201009P00085000,2020-10-09 11:24AM EDT,85.0,0.05,0.00,0.1,-0.1,-66.67%,10,211,70.31%,2020-10-09 13:06:00.452172
9,NTES201009P00085500,2020-10-08 9:51AM EDT,85.5,0.2,0.00,0.1,0.0,-,3,16,64.84%,2020-10-09 13:06:00.452172
10,NTES201009P00086000,2020-10-09 10:57AM EDT,86.0,0.02,0.00,0.1,-0.1,-83.33%,101,151,59.77%,2020-10-09 13:06:00.452172
11,NTES201009P00086500,2020-10-09 9:38AM EDT,86.5,0.08,0.00,0.15,-0.02,-20.00%,1,51,59.18%,2020-10-09 13:06:00.452172
12,NTES201009P00087000,2020-10-09 11:48AM EDT,87.0,0.03,0.00,0.05,-0.07,-70.00%,1,335,48.83%,2020-10-09 13:06:00.452172
13,NTES201009P00087500,2020-10-08 12:38PM EDT,87.5,0.55,0.00,0.05,0.0,-,10,92,43.56%,2020-10-09 13:06:00.452172
14,NTES201009P00088000,2020-10-09 10:57AM EDT,88.0,0.05,0.00,0.05,-0.4,-88.89%,40,181,37.89%,2020-10-09 13:06:00.452172
15,NTES201009P00088500,2020-10-08 3:06PM EDT,88.5,0.1,0.00,0.05,-0.45,-81.82%,3,23,32.42%,2020-10-09 13:06:00.452172
16,NTES201009P00089000,2020-10-09 10:40AM EDT,89.0,0.09,0.00,0.1,-0.59,-86.76%,129,171,32.23%,2020-10-09 13:06:00.452172
17,NTES201009P00089500,2020-10-09 11:05AM EDT,89.5,0.1,0.00,0.1,-1.0,-90.91%,11,77,25.39%,2020-10-09 13:06:00.452172
18,NTES201009P00090000,2020-10-09 11:16AM EDT,90.0,0.1,0.00,0.1,-1.7,-94.44%,45,326,18.16%,2020-10-09 13:06:00.452172
19,NTES201009P00090500,2020-10-09 12:19PM EDT,90.5,0.1,0.15,0.3,-1.2,-92.31%,12,169,20.70%,2020-10-09 13:06:00.452172
20,NTES201009P00091000,2020-10-09 10:01AM EDT,91.0,1.79,0.40,0.65,-0.72,-28.69%,5,34,25.59%,2020-10-09 13:06:00.452172
21,NTES201009P00091500,2020-10-08 9:40AM EDT,91.5,4.43,0.50,1.75,0.0,-,19,84,68.95%,2020-10-09 13:06:00.452172
